x,ie,t,V,r,w,lbl
0.1,1,1,-5.320920935459143,0.01,2.0,e₁
0.1,1,2,-4.868342945891389,0.01,2.0,e₁
0.1,1,3,-4.40004858695781,0.01,2.0,e₁
0.1,1,4,-3.915402032514391,0.01,2.0,e₁
0.1,1,5,-3.4137248487553054,0.01,2.0,e₁
0.1,1,6,-2.8942884814362304,0.01,2.0,e₁
0.1,1,7,-2.3563040494078833,0.01,2.0,e₁
0.1,1,8,-1.7989081208572277,0.01,2.0,e₁
0.1,1,9,-1.2211423794086955,0.01,2.0,e₁
0.1,1,10,-0.621923819850379,0.01,2.0,e₁
0.1,5,1,-4.482501030521618,0.01,2.0,e₅
0.1,5,2,-4.093104573858086,0.01,2.0,e₅
0.1,5,3,-3.6916680258155132,0.01,2.0,e₅
0.1,5,4,-3.2778234647081104,0.01,2.0,e₅
0.1,5,5,-2.8511912069406433,0.01,2.0,e₅
0.1,5,6,-2.411379282667334,0.01,2.0,e₅
0.1,5,7,-1.9579829773833146,0.01,2.0,e₅
0.1,5,8,-1.4905845114366385,0.01,2.0,e₅
0.1,5,9,-1.0087529107209985,0.01,2.0,e₅
0.1,5,10,-0.5120439947632379,0.01,2.0,e₅
0.1,10,1,-3.6003655604224654,0.01,2.0,e₁₀
0.1,10,2,-3.280708338112611,0.01,2.0,e₁₀
0.1,10,3,-2.952452880313243,0.01,2.0,e₁₀
0.1,10,4,-2.6154311573180937,0.01,2.0,e₁₀
0.1,10,5,-2.2694838435771922,0.01,2.0,e₁₀
0.1,10,6,-1.9144643051293566,0.01,2.0,e₁₀
0.1,10,7,-1.5502441955167228,0.01,2.0,e₁₀
0.1,10,8,-1.176721461030336,0.01,2.0,e₁₀
0.1,10,9,-0.7938320227787307,0.01,2.0,e₁₀
0.1,10,10,-0.40156717224322896,0.01,2.0,e₁₀
0.23448275862068965,1,1,-5.272476594143208,0.01,2.0,e₁
0.23448275862068965,1,2,-4.819898604575454,0.01,2.0,e₁
0.23448275862068965,1,3,-4.351604245641875,0.01,2.0,e₁
0.23448275862068965,1,4,-3.8669576911984556,0.01,2.0,e₁
0.23448275862068965,1,5,-3.36528050743937,0.01,2.0,e₁
0.23448275862068965,1,6,-2.845844140120295,0.01,2.0,e₁
0.23448275862068965,1,7,-2.307859708091948,0.01,2.0,e₁
0.23448275862068965,1,8,-1.7504637795412923,0.01,2.0,e₁
0.23448275862068965,1,9,-1.17269803809276,0.01,2.0,e₁
0.23448275862068965,1,10,-0.5734794785344436,0.01,2.0,e₁
0.23448275862068965,5,1,-4.449204301864512,0.01,2.0,e₅
0.23448275862068965,5,2,-4.05980784520098,0.01,2.0,e₅
0.23448275862068965,5,3,-3.6583712971584066,0.01,2.0,e₅
0.23448275862068965,5,4,-3.2445267360510037,0.01,2.0,e₅
0.23448275862068965,5,5,-2.8178944782835367,0.01,2.0,e₅
