transaksi_flashsale_pre,total_transaksi_pre,avg_spending_pre,kota_pengguna,platform_device,is_premium_member,prompt_variant_mudah,opted_out_notif,transaksi_flashsale_post
4,5,204612.0,Medan,iOS,1,1,1,4
1,8,129046.0,Yogyakarta,iOS,0,0,0,2
3,5,112036.0,Surabaya,Android,0,1,0,4
3,15,115106.0,Bandung,Android,0,0,0,4
1,8,206403.0,Medan,Android,0,1,1,1
2,6,65238.0,Makassar,Android,0,1,0,3
1,3,202826.0,Surabaya,Android,0,1,1,1
1,12,118153.0,Medan,iOS,0,0,0,1
2,11,28566.0,Makassar,Android,0,1,1,3
2,3,141128.0,Jakarta,Android,0,0,1,1
1,12,219944.0,Makassar,iOS,0,1,1,1
0,5,97400.0,Makassar,Web,1,1,1,0
4,7,131622.0,Makassar,Android,0,0,0,6
2,11,79507.0,Makassar,iOS,1,1,1,2
1,7,151062.0,Jakarta,Android,0,1,0,3
3,12,50763.0,Makassar,iOS,0,1,0,5
2,8,77293.0,Makassar,iOS,0,0,0,3
6,4,245438.0,Yogyakarta,Android,0,1,1,7
1,9,131371.0,Surabaya,Android,0,0,0,2
1,5,138897.0,Yogyakarta,Android,1,0,0,3
2,7,154145.0,Surabaya,Android,0,1,1,3
2,10,143195.0,Makassar,iOS,0,0,1,3
1,5,165620.0,Yogyakarta,iOS,0,0,0,2
3,9,151434.0,Bandung,Android,0,1,1,3
4,5,137186.0,Yogyakarta,Web,0,0,1,5
1,7,209439.0,Makassar,Android,1,1,1,1
3,12,139737.0,Surabaya,Android,0,0,0,5
1,7,213578.0,Makassar,Android,1,1,1,0
4,13,127528.0,Surabaya,Android,0,1,1,5
4,9,148774.0,Bandung,Android,1,0,0,5
2,5,194403.0,Makassar,Android,0,1,0,3
0,12,181875.0,Surabaya,iOS,0,0,0,2
0,9,123227.0,Yogyakarta,Android,0,1,0,1
2,12,129028.0,Surabaya,Android,1,1,1,2
2,6,96376.0,Makassar,Android,1,1,1,3
2,8,191725.0,Makassar,Android,0,0,0,3
1,8,253367.0,Yogyakarta,Android,1,1,0,2
5,13,122470.0,Makassar,Android,0,0,1,5
4,5,145085.0,Medan,Android,1,0,1,4
0,7,182262.0,Surabaya,Android,0,1,1,0
1,7,97451.0,Surabaya,iOS,0,0,1,0
2,7,200406.0,Jakarta,iOS,1,0,0,3
2,6,75892.0,Jakarta,Android,1,1,1,2
0,12,121399.0,Makassar,Android,0,1,1,0
2,4,119216.0,Yogyakarta,Web,0,1,1,3
2,11,83149.0,Jakarta,Android,0,0,0,3
3,9,81035.0,Surabaya,Android,0,0,0,4
1,10,73191.0,Jakarta,Android,0,0,1,0
0,7,281789.0,Makassar,Android,0,0,0,1
2,10,195022.0,Medan,Android,0,1,1,3
2,11,231965.0,Jakarta,Android,0,0,1,2
1,8,223004.0,Medan,Android,0,0,1,1
3,10,96557.0,Jakarta,Android,0,0,1,1
2,13,126823.0,Bandung,iOS,0,0,0,4
3,10,109336.0,Surabaya,Android,0,0,1,2
2,11,128956.0,Makassar,Android,0,0,1,1
0,9,95849.0,Surabaya,iOS,0,1,1,0
2,13,252635.0,Yogyakarta,Android,0,0,0,4
1,12,180908.0,Medan,iOS,1,0,1,1
1,6,90441.0,Jakarta,Android,0,0,0,2
3,12,92311.0,Jakarta,Android,0,0,0,4
1,15,197652.0,Bandung,Android,0,1,1,0
4,6,105875.0,Yogyakarta,Android,0,1,1,5
2,11,221526.0,Yogyakarta,Android,1,0,0,5
0,14,100005.0,Yogyakarta,Web,1,1,1,1
4,3,117925.0,Yogyakarta,Android,0,0,0,6
5,6,178495.0,Jakarta,Android,1,0,0,8
2,6,159592.0,Medan,Web,1,1,0,4
0,5,157751.0,Bandung,Android,1,1,1,0
0,7,158447.0,Yogyakarta,iOS,0,1,0,1
1,15,186973.0,Bandung,iOS,0,0,0,0
1,6,83999.0,Medan,Android,0,0,1,1
2,7,122176.0,Jakarta,Android,0,0,0,3
2,9,122624.0,Medan,Android,0,0,0,4
5,6,121332.0,Makassar,iOS,0,0,1,5
1,5,166593.0,Makassar,Web,1,1,1,1
2,10,184683.0,Medan,Web,0,1,1,3
4,5,196492.0,Surabaya,iOS,1,0,1,4
1,11,181383.0,Yogyakarta,iOS,1,0,1,0
2,7,211583.0,Makassar,iOS,0,0,0,2
1,6,106338.0,Makassar,Android,0,1,1,1
4,5,183093.0,Medan,Android,0,1,1,3
5,8,132352.0,Yogyakarta,Android,0,1,1,5
2,10,209663.0,Makassar,Android,0,0,0,2
1,3,89341.0,Surabaya,Android,0,1,0,1
3,11,177138.0,Medan,iOS,0,0,1,3
2,9,112445.0,Surabaya,Android,0,0,1,2
5,3,123130.0,Yogyakarta,iOS,0,1,0,5
5,9,121412.0,Jakarta,Android,0,1,1,6
5,9,107266.0,Medan,Android,0,0,0,6
1,4,162935.0,Makassar,Android,0,0,1,0
0,10,113711.0,Yogyakarta,Web,0,0,0,1
1,7,71664.0,Bandung,Web,0,0,0,3
2,7,232592.0,Yogyakarta,Android,0,0,1,3
1,1,117948.0,Jakarta,Android,0,1,0,1
0,9,157623.0,Surabaya,Web,0,0,1,0
2,8,137634.0,Surabaya,iOS,0,1,1,3
2,4,125470.0,Makassar,Web,1,1,1,2
1,4,82018.0,Jakarta,iOS,0,1,1,1
0,8,64590.0,Yogyakarta,Android,0,1,1,0
3,8,160555.0,Jakarta,iOS,1,0,1,4
3,8,181018.0,Medan,Android,1,1,1,2
1,8,107137.0,Yogyakarta,iOS,0,1,1,1
0,10,236533.0,Surabaya,Android,0,0,1,0
0,7,203863.0,Jakarta,Android,0,0,1,1
4,8,153656.0,Yogyakarta,Android,1,1,1,3
1,6,182777.0,Medan,Android,0,1,1,2
3,8,178221.0,Bandung,Web,0,1,1,3
4,6,114648.0,Surabaya,Android,0,1,1,3
1,9,95223.0,Medan,Android,0,1,1,1
1,9,150525.0,Bandung,iOS,0,1,1,1
0,7,71021.0,Makassar,Web,0,1,1,0
